keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
EFFECT_DECAYING_STAT_ON_HIT,{0} {1} for {2} seconds when you take damage,{0} {1} pendant {2} secondes lorsque vous subissez des dégâts,受到伤害后，{0}{1}持续{2}秒,ダメージを受けると、{2} 秒間 {0} {1},대미지를 받을 때 {2}초 동안 {0} {1},你受到的傷害時{0}{1}{2}秒,"{0} к параметру «{1}» на {2} сек., когда вы получаете урон.","{1} {0} przez {2} s, gdy otrzymujesz obrażenia",{0} de {1} durante {2} segundos al recibir daño,{0} de {1} por {2} segundos ao sofrer dano.,"{0} {1} für {2} Sekunden, wenn du Schaden nimmst",Hasar aldığında {2} saniye boyunca {0} {1},{0} {1} per {2} secondi quando subisci danni.
EFFECT_SWAP_MAX_MIN_STAT_POS,Your highest ({0}) and lowest ({1}) positive primary stats are swapped when you get this item,Vos statistiques primaires positives les plus élevées ({0}) et les plus basses ({1}) sont échangées lorsque vous obtenez cet objet,当你获得此道具时，你的最高（{0}）和最低（{1}）正面主属性会互换,このアイテムを入手すると、ポジティブなプライマリーステータスの一番高いもの（{0}）と一番低いもの（{1}）が入れ替わります,이 아이템을 획득하면 최고({0}) 그리고 최저({1}) 양의 기본적인 능력치가 서로 바뀜,得到這個道具後，你的最高（{0}）和最低（{1}）主要正數據會交換,"Когда получаете этот предмет, ваш самый высокий ({0}) и самый низкий ({1}) положительные основные показатели меняются местами.",Najwyższe ({0}) i najniższe ({1}) statystyki główne o wartości dodatniej zostają zamienione po zdobyciu tego przedmiotu,"Al obtener este objeto, se intercambian tus estadísticas principales positivas más altas ({0}) y más bajas ({1})",Seu atributo primário positivo maior ({0}) e menor ({1}) são trocados ao coletar este item.,Deine höchsten ({0}) und niedrigsten ({1}) positiven Primärwerte werden beim Erhalt dieses Items getauscht,Bu eşyayı aldığında en yüksek ({0}) ve en düşük ({1}) pozitif birincil istatistiklerin yer değiştirir,Il tuo parametro primario positivo più alto ({0}) e quello più basso ({1}) vengono scambiati fra loro quando ottieni questo oggetto.
EFFECT_SWAP_MAX_MIN_STAT,Your highest ({0}) and lowest ({1}) primary stats are swapped when you get this item,Vos statistiques principales les plus élevées ({0}) et les plus basses ({1}) sont échangées lorsque vous obtenez cet objet,当你获得此道具时，你的最高（{0}）和最低（{1}）主属性会互换,このアイテムを入手すると、プライマリーステータスの一番高いもの（{0}）と一番低いもの（{1}）が入れ替わります,이 아이템을 획득하면 최고({0}) 그리고 최저({1}) 기본적인 능력치가 서로 바뀜,得到這個道具後，你的最高（{0}）和最低（{1}）主要數據交換,"Когда получаете этот предмет, ваш самый высокий ({0}) и самый низкий ({1}) основные показатели меняются местами.",Najwyższe ({0}) i najniższe ({1}) statystyki główne zostają zamienione po zdobyciu tego przedmiotu,"Al obtener este objeto, se intercambian tus estadísticas principales más altas ({0}) y más bajas ({1})",Seu atributo primário maior ({0}) e menor ({1}) são trocados ao coletar este item.,Deine höchsten ({0}) und niedrigsten ({1}) Primärwerte werden beim Erhalt dieses Items getauscht,Bu eşyayı aldığında en yüksek ({0}) ve en düşük ({1}) birincil istatistiklerin yer değiştirir,Il tuo parametro primario più alto ({0}) e quello più basso ({1}) vengono scambiati fra loro quando ottieni questo oggetto.
EFFECT_GOLD_ON_EVERY_STEP,Earn {0} materials for every {2} steps you take during a wave,Gagnez {0} matériaux pour tous les {2} pas que vous faites pendant une vague,每在一波袭击中前进{2}步，可获得{0}材料,ウェーブ中、{2} 歩ごとに材料を {0} 個獲得します,한 웨이브 동안 걷는 매 {2}걸음마다 재료 {0}개를 얻음,每在一波中走{2}步就可獲得{0}個素材,Вы получаете материалы ({0}) за каждые {2} шагов во время волны.,Zdobądź {0} szt. materiałów za każde {2} kroków wykonanych podczas fali,Obtienes {0} materiales por cada {2} pasos que des en una oleada,Ganhe {0} materiais a cada {2} passos dados durante uma onda.,"Verdiene {0} Materialien für alle {2} Schritte, die du in einer Welle machst",Hücum sırasında attığın her {2} adım başına {0} malzeme kazanırsın,Ottieni {0} materiali ogni {2} passi compiuti durante un'ondata.
EFFECT_STAT_ON_EVERY_STEP,{0} {1} for every {2} steps you take during a wave,{0} {1} pour tous les {2} pas que vous faites pendant une vague,每在一波袭击中前进{2}步，可获得{0}{1},ウェーブ中、{2} 歩ごとに {0} {1},한 웨이브 동안 걷는 매 {2}걸음마다 {0} {1},每在一波中走{2}步就可{0}{1}個材料,Вы получаете {0} к параметру «{1}» за каждые {2} шагов во время волны.,{1} {0} za każde {2} kroków wykonanych podczas fali,{0} de {1} por cada {2} pasos que des en una oleada,{0} de {1} a cada {2} passos dados durante uma onda.,"{0} {1} für alle {2} Schritte, die du in einer Welle machst",Hücum sırasında attığın her {2} adım başına {0} {1},{0} {1} ogni {2} passi compiuti durante un'ondata.
EFFECT_PIERCE_ON_CRIT_ITEM,Projectiles get {0} piercing on critical hit,Les projectiles perçent {0} fois de plus en cas de coup critique,投射物在暴击时会获得{0}贯通效果,クリティカルヒット時に発射物が {0} の貫通を受けます,치명타 시 발사체가 {0} 관통을 얻음,爆擊時投射物會獲得{0}貫穿,Снаряды получают {0} к урону пробития при критических ударах.,Pociski otrzymują {0}obr. od przeszywania przy trafieniu krytycznym,Los proyectiles obtienen {0} de perforación al realizar un ataque crítico,Os projéteis ganham {0} de perfuração em acertos críticos.,Projektile erhalten {0} Durchbohren bei kritischen Treffern,Roketler kritik vuruşta {0} delici hasar verir,La perforazione dei proiettili aumenta di {0} quando infliggi un colpo critico.
EFFECT_BOUNCE_ON_CRIT_ITEM,Projectiles get {0} bounce on critical hit,Les projectiles rebondissent {0} fois de plus en cas de coup critique,投射物在暴击时会获得{0}反弹效果,クリティカルヒット時に発射物が {0} の跳ね返りを受けます,치명타 시 발사체가 {0} 튕김을 얻음,爆擊時投射物會獲得{0}反彈,Снаряды получают {0} к отскоку при критических ударах.,Pociski otrzymują {0}obr. od odbijania przy trafieniu krytycznym,Los proyectiles obtienen {0} de rebote al realizar un ataque crítico,Os projéteis ganham {0} de rebote em acertos críticos.,Projektile erhalten {0} Apraller bei kritischen Treffern,Roketler kritik vuruşta {0} defa seker,Il rimbalzo dei proiettili aumenta di {0} quando infliggi un colpo critico.
EFFECT_EXPLODE_ON_HIT_MISSING_HEALTH,You explode for {1} ({3} x missing health) damage when you take damage,Vous explosez et subissez {1} ({3} x santé manquante) de dégâts lorsque vous subissez des dégâts,当你受到伤害时会爆炸，造成{1}（{3}x损失的生命值）伤害,ダメージを受けると爆発してダメージ {1}（失ったHP x {3}） を付与,대미지를 받으면 {1}({3} x 잃은 체력) 대미지를 주며 폭발,受到傷害時你會爆炸{1}造成（{3} x 失去的生命值）傷害,При получении урона вы взрываетесь и наносите {1} урона (потерянное здоровье х {3}).,"Gdy otrzymasz obrażenia, eksplodujesz, otrzymując {1} ({3} x brakujące zdrowie) obrażeń",Provocas una explosión que causa {1} ({3} x salud restante) de daño al recibir daño,Você explode causando {1} ({3} x vida perdida) de dano ao sofrer dano.,"Du explodierst für {1} ({3} x fehlende HP) Schaden, wenn du Schaden nimmst",Hasar alınca patlayarak {1} ({3} x eksik sağlık) hasar verirsin,Esplodi infliggendo {1} ({3} x salute mancante) danni quando subisci danni.
EFFECT_CONSUMABLE_HEAL_OVER_TIME,Consumables heal you over {0} seconds instead of instantly,Les consommables vous soignent en {0} secondes au lieu d'agir instantanément,消耗品会在{0}秒内持续为你治疗，而非瞬间治疗,消耗品は、瞬時にではなく {0} 秒かけて回復します,소모품이 즉각 치유하는 대신 {0}초에 걸쳐 치유함,消耗品不會瞬間治癒，而是持續治癒{0}秒,"Расходники лечат в течение {0} сек., а не мгновенно.","Znajdźki leczą przez {0} s, a nie natychmiastowo.",Los consumibles te curan a lo largo de {0} segundos en vez de al momento de usarlos,Consumíveis curam por {0} segundos em vez de instantaneamente.,Verbrauchsgegenstände heilen dich über {0} Sekunden anstatt sofort,Tüketilebilir eşyalar anlık değil {0} saniye boyunca sağlık yeniler,I materiali consumabili ti fanno recuperare PS per {0} secondi anziché istantaneamente.
EFFECT_LOCK_CURRENT_WEAPONS,Weapons can no longer be upgraded or recycled,Les armes ne peuvent plus être améliorées ou recyclées,武器无法再升级或回收,武器がアップグレードやリサイクルできなくなります,무기를 더 이상 업그레이드하거나 재활용할 수 없음,武器再也無法升級或回收,Оружие больше не может быть улучшено или переработано.,Broni nie można już ulepszać ani poddawać recyklingowi,Las armas dejan de poderse mejorar o reciclar,As armas não podem mais ser melhoradas ou recicladas.,Waffen können nicht mehr verbessert oder verwertet werden,Silahlar artık yükseltilemez veya geri dönüştürülemez,Le armi non possono più essere migliorate o riciclate.
EFFECT_KNOCKBACK_AURA,Knocks nearby enemies back every {0} second,Repousse les ennemis proches toutes les {0} seconde,每{0}秒击退附近的敌人,{0} 秒ごとに近くの敵をノックバックします,매 {0}초마다 근처 적을 넉백시킴,每{0}秒擊退附近的敵人一次,Отталкивает ближайших врагов каждые {0} сек.,Odrzuca pobliskich wrogów co sekundę,Derriba a los enemigos cercanos cada {0} segundo,Empurra inimigos próximos a cada {0} segundo.,Stößt Gegner in der Nähe jede Sekunde zurück,Her {0} saniyede bir yakındaki düşmanları uzaklaştırır,Respingi i nemici vicini ogni secondo.
EFFECT_KNOCKBACK_AURA_PLURAL,Knocks nearby enemies back every {0} seconds,Repousse les ennemis proches toutes les {0} secondes,每{0}秒击退附近的敌人,{0} 秒ごとに近くの敵をノックバックします,매 {0}초마다 근처 적을 넉백시킴,每{0}秒擊退附近的敵人一次,Отталкивает ближайших врагов каждые {0} сек.,Odrzuca pobliskich wrogów co {0} s,Derriba a los enemigos cercanos cada {0} segundos,Empurra inimigos próximos a cada {0} segundos.,Stößt Gegner in der Nähe alle {0} Sekunden zurück,Her {0} saniyede bir yakındaki düşmanları uzaklaştırır,Respingi i nemici vicini ogni {0} secondi.
EFFECT_LEVEL_UPGRADES_MODIFICATIONS,{0} stats gained from level upgrades,{0} statistiques obtenues grâce aux améliorations de niveau,从等级提升中获得{0}属性,レベルアップグレードで {0} ステータスを獲得,레벨 업그레이드로 {0} 능력치 획득,升級獲得{0}數值,При повышении уровня дается {0} показателей.,Statystyki uzyskane dzięki ulepszeniom poziomu: {0},Obtienes {0} estadísticas con las mejoras de nivel,{0} de atributos ganhos em melhorias de nível.,{0} bei durch Levelaufstieg erhaltenen Werten,Seviye yükseltmelerinden elde edilen {0} istatistik,{0} al miglioramento del parametro quando sali di livello.
EFFECT_LOST_ON_HIT,Bonus is lost when taking damage,Le bonus est perdu en cas de dégâts,受到伤害时会失去奖励,ダメージを受けるとボーナスは失われます,대미지를 받으면 보너스를 잃음,受到傷害時會減少加成,"Бонус теряется, когда вы получаете урон.",Premia jest tracona po otrzymaniu obrażeń,La bonificación se pierde al recibir daño,O bônus é perdido ao sofrer dano.,"Bonus geht verloren, wenn du Schaden nimmst",Hasar alındığında bonus yok olur,"Quando subisci danni, perdi il bonus."
EFFECT_ENEMY_FRUIT_DROPS,Enemies have a higher chance of dropping fruits,Les ennemis ont plus de chances de lâcher des fruits,敌人掉落水果的几率更高,敵がフルーツをドロップする確率が高くなります,적이 더 높은 확률로 과일을 떨어뜨림,敵人掉落水果的機率變高,Повышен шанс выпадения фруктов с врагов.,Wrogowie mają większą szansę na upuszczenie owoców,Los enemigos tienen más probabilidad de soltar frutas,Os inimigos têm uma maior chance de deixar frutas.,Gegner lassen häufiger Früchte fallen,Düşmanların meyve düşürme ihtimali artar,Maggiori probabilità che i nemici generino frutta.
EFFECT_STAT_ON_FRUIT,{2} chance to get {0} {1} when you pick up a fruit,{2} chances d'obtenir {0} {1} lorsque vous ramassez un fruit,捡起水果时有{2}的概率获得{0}{1},フルーツを拾うと、{2} の確率で {0} {1} を入手します,과일을 획득할 때 {2} 확률로 {0} {1} 획득,撿起水果時有{2}機會獲得{0}{1},"Шанс {2} получить {0} {1}, когда вы подбираете фрукт.",{2} szans na zyskanie {0} {1} po podniesieniu owocu,{2} de probabilidad de obtener {0} de {1} al recoger una fruta,{2} de chance de obter {0} de {1} ao coletar uma fruta.,Chance von {2} beim Aufsammeln einer Frucht {0} {1} zu bekommen,Meyve topladığında {2} ihtimalle {0} {1} alırsın,{2} di probabilità di ottenere {0} {1} quando raccogli un frutto.
EFFECT_DUPLICATE_ITEM,Duplicates the next item you get from the shop (item limits can't be exceeded),Duplique le prochain objet que vous obtenez dans la boutique (les limites d'objets ne peuvent pas être dépassées),复制你从商店获得的下一个道具（不能超过道具限制）,次にショップから入手するアイテムを複製します（所持制限は超過できません）,상점에서 얻는 다음 아이템을 복제함(아이템 제한을 초과할 수 없음),複製從商店獲得的下一個道具（不能超出道具限額）,Создает дубликат следующего купленного в магазине предмета (нельзя превысить лимит предметов).,Duplikuje kolejny przedmiot ze sklepu (nie można przekroczyć limitów przedmiotów).,Duplica el siguiente objeto que consigas en la tienda (no se pueden superar los límites de objetos),Duplica o próximo item obtido na loja (limites de itens não são excedidos),"Dupliziert das nächste Item, das du aus dem Shop holst (Item-Limits nicht überschreitbar)",Dükkânda alacağın sonraki eşyayı kopyalar (Eşya sınırları aşılamaz),Duplica il prossimo oggetto che ottieni dal negozio (non puoi superare il limite degli oggetti).
EFFECT_BROKEN_MIRROR,This mirror duplicated an item,Ce miroir a dupliqué un objet,这面镜子复制了一个道具,この鏡はアイテムを複製します,이 거울은 아이템을 복제했음,這個鏡子會複製道具,Это зеркало создало дубликат предмета.,To lustro zduplikowało przedmiot,Este espejo ha duplicado un objeto,Este espelho duplicou um item.,Dieser Spiegel hat ein Item dupliziert,Bu ayna bir eşyayı kopyaladı,Questo specchio ha duplicato un oggetto.
EFFECT_CURSED_MIRROR,Effects and curse are lost after using the item,Les effets et la malédiction sont perdus après l'utilisation de l'objet,使用道具后会失去效果和诅咒,アイテムの使用後、効果と呪いは失われます,효과와 저주는 아이템을 사용한 뒤 없어짐,使用之後會失去效果和詛咒,"Эффекты и проклятие теряются, когда вы используете предмет.",Po użyciu przedmiotu tracisz efekty i klątwy,Los efectos y la maldición se pierden al usar el objeto,Anula os efeitos e maldição após usar o item.,Effekte und Fluch verschwinden nach Gebrauch des Items,Bu eşyayı kullandıktan sonra tüm etkiler ve lanetler kaybolur,"Dopo aver usato questo oggetto, la sua maledizione e i suoi effetti vanno persi."
EFFECT_POISONED_FRUIT,{0} of fruits are poisoned and hurt you (ignores Dodge and Armor),{0} des fruits sont empoisonnés et vous blessent (ignore l'Esquive et l'Armure),{0}的水果被下毒并会伤害你（无视闪避和护甲）,フルーツの {0} は毒入りであなたを傷つけます（回避とアーマーは無視されます）,과일 {0}개가 오염되어 다치게 함(회피와 방어구 무시),{0}機率吃到有毒水果，會傷害你（忽略閃避和護甲）,Фрукты ({0}) отравлены и наносят вам урон (вне зависимости от уклонения и брони).,Tyle owoców jest zatrutych i zadaje ci obrażenia (ignorując przy tym uniki i pancerz): {0},El {0} de las frutas están envenenadas y te hacen daño (ignora agilidad y armadura),{0} das frutas são envenenadas e causam dano (ignora Esquiva e Armadura).,{0} der Früchte sind vergiftet und schaden dir (ignoriert Ausweichen und Rüstung),Meyveler {0} oranında zehirlidir ve hasar verir (Kaçınma ve Zırhı yok sayar),{0} dei frutti sono avvelenati e ti infliggono danni (ignorando schivata e corazza).
EFFECT_GAIN_STAT_WHEN_ATTACK_KILLED_ENEMIES,{0} {1} when killing at least {2} enemies with a direct weapon hit,{0} {1} lorsque vous tuez au moins {2} ennemis avec un coup d'arme direct,使用直接武器命中至少{2}名敌人时，可获得{0}{1},1回の近接攻撃で、最低 {2} 体の敵を倒すと {0} {1},직접적인 무기 타격으로 최소 {2}만큼의 적을 죽이면 {0} {1},武器直接命中，至少殺死{2}個敵人時{0}{1},{0} {1} при убийстве {2} и более врагов прямым ударом оружия.,{1} {0} po zabiciu przynajmniej tylu wrogów bezpośrednim trafieniem bronią : {2},{0} de {1} al eliminar a al menos {2} enemigos con un golpe de arma directo,{0} de {1} ao eliminar {2} inimigos ou mais com um acerto direto com arma.,{0} {1} beim Töten von mindestens {2} Gegnern mit einem direkten Waffentreffer,Silahla doğrudan isabet ederek en az {2} düşman öldürdüğünde {0} {1},{0} {1} quando uccidi almeno {2} nemici con un colpo d'arma diretto.
EFFECT_EXTRA_ITEM_IN_CRATE,{0} chance of finding an extra {1} in a crate,{0} chance de trouver un {1} supplémentaire dans une caisse,在箱子中有{0}的几率发现额外的{1},{0} の確率で木箱の中に追加 {1} を見つけます,상자에서 추가 {1} 아이템을 찾을 확률 {0},{0}機率在一個箱子中找到一個額外的{1},Шанс {0} найти дополнительный предмет ({1}) в ящике.,{0} szans na znalezienie dodatkowego przedmiotu ({1}) w skrzyni,{0} de probabilidad de encontrar una unidad adicional de {1} en una caja,{0} de chance de encontrar {1} extra em uma caixa.,Chance von {0} in einer Kiste {1} zusätzlich zu erhalten,Bir sandıkta {0} ihtimalle ekstra {1} bulunabilir,{0} di probabilità di trovare 1 {1} in più in una cassa.
EFFECT_EXTRA_RANDOM_ITEM_IN_CRATE,{0} chance of finding an extra item in a crate,{0} chance de trouver un objet supplémentaire dans une caisse,在箱子中有{0}的几率发现额外的道具,{0} の確率で木箱の中に追加アイテムを見つけます,상자에서 추가 아이템을 찾을 확률 {0},{0}機率在一個箱子中找到一個額外的道具,Шанс {0} найти дополнительный предмет в ящике.,{0} szans na znalezienie dodatkowego przedmiotu w skrzyni,{0} de probabilidad de encontrar un objeto adicional en una caja,{0} de chance de encontrar um item extra em uma caixa.,Chance von {0} in einer Kiste ein Item zusätzlich zu erhalten,Bir sandıkta {0} ihtimalle ekstra eşya bulunabilir,{0} di probabilità di trovare 1 oggetto in più in una cassa.
EFFECT_HEAL_ON_KILL,{0} chance to heal 1 HP when killing an enemy,{0} chance de guérir 1 PV en tuant un ennemi,杀死敌人时有{0}的几率恢复1点生命值,敵を倒すと、{0} の確率で1 HP回復します,적을 죽일 때 {0} 확률로 1 HP 치료,殺死敵人時有{0}的機率治癒1HP,Шанс {0} восстановить 1 ОЗ при убийстве врага.,{0} szans na odzyskanie 1 PZ przy zabiciu przeciwnika,{0} de probabilidad de recuperar 1 PS al eliminar a un enemigo,{0} de chance de recuperar 1 PV ao eliminar um inimigo.,"{0} Chance, beim Töten eines Gegners 1 HP zu heilen",Bir düşmanı öldürdüğünde {0} ihtimalle 1 Sağlık yeniler,{0} di probabilità di recuperare 1 PS quando uccidi un nemico.
EFFECT_TEMP_CONSUMABLE_STAT_WHILE_MAX,{0} {1} until the end of the wave when picking up a consumable while at maximum health,{0} {1} jusqu'à la fin de la vague lorsque vous ramassez un consommable en étant en pleine santé ,当在最大生命值下捡起一个消耗品时，可获得{0}{1}，直至敌袭结束,ウェーブが終了するまで最大ヘルスで消耗品を拾うと {0} {1},웨이브가 끝날 때까지 체력이 최대일 때 소모품을 획득하면 {0} {1},在生命值達到上限的狀態下撿起消耗品時可{0}{1}直到結束,"{0} к «{1}» до конца волны если вы подбираете расходник, когда у вас полное здоровье.","{1} {0} podczas podnoszenia znajdźki, jeśli masz pełne zdrowie (do końca fali)",{0} de {1} hasta el final de la oleada al recoger un consumible con la salud al máximo,"{0} de {1} ao coletar um consumível com a vida cheia, até o fim da onda.","{0} {1} bis zum Ende der Welle, wenn du bei max. HP ein Verbrauchsgut aufsammelst",Hücum bitene kadar Maksimum sağlıktayken tüketilebilir topladığında {0} {1},{0} {1} quando raccogli un materiale consumabile mentre hai la salute al massimo fino alla fine dell'ondata.
EFFECT_MODIFY_EVERY_X_PROJECTILE,Every ranged weapon's {0}th projectile has {2} {3},Le {0}ème projectile de chaque arme à distance a {2} {3},每把远战武器的第{0}个投射物有{2}{3},すべての遠距離武器の発射物は {0} 発ごとに {2} {3},모든 원거리 무기의 {0}번째 발사체가 {2} {3} 보유,每個遠距離武器的第{0}個投射物{2}{3},Каждый {0}-й снаряд оружия дальнего боя получает {2}: {3}.,Co {0} pocisk broni dystansowej ma {3} {2},El {0}.º proyectil de todas las armas a distancia tienen {2} de {3},Todo {0}º projétil de arma de longo alcance ganha {2} de {3}.,Das {0}. Projektil jeder Fernkampfwaffe hat {2} {3},Her menzilli silahın {0}. atışı için {2} {3},Ogni {0}° proiettile lanciato dalle armi da distanza ottiene {2} {3}.
EFFECT_MODIFY_EVERY_X_PROJECTILE_FIRST,Every ranged weapon's projectile has {2} {3},Le projectile de chaque arme à distance a {2} {3},每把远战武器的投射物有{2}{3},すべての遠距離武器の発射物は {2} {3},모든 원거리 무기의 발사체가 {2} {3} 보유,每個遠距離武器的投射物{2}{3},Каждый снаряд оружия дальнего боя получает {2}: {3}.,Każdy pocisk broni dystansowej ma {3} {2},Los proyectiles de todas las armas a distancia tienen {2} de {3},Todo projétil de arma de longo alcance ganha {2} de {3}.,Jedes Projektil einer Fernkampfwaffe hat {2} {3},Her menzilli silahın atışı için {2} {3},Ogni proiettile lanciato dalle armi da distanza ottiene {2} {3}.
EFFECT_MODIFY_EVERY_X_PROJECTILE_SECOND,Every ranged weapon's {0}nd projectile has {2} {3},Le {0}ème projectile de chaque arme à distance a {2} {3},每把远战武器的第{0}个投射物有{2}{3},すべての遠距離武器の発射物は {0} 発ごとに {2} {3},모든 원거리 무기의 {0}번째 발사체가 {2} {3} 보유,每個遠距離武器的第{0}個投射物{2}{3},Каждый {0}-й снаряд оружия дальнего боя получает {2}: {3}.,Co {0} pocisk broni dystansowej ma {3} {2},El {0}.º proyectil de todas las armas a distancia tienen {2} de {3},Todo {0}º projétil de arma de longo alcance ganha {2} de {3}.,Das {0}. Projektil jeder Fernkampfwaffe hat {2} {3},Her menzilli silahın {0}. atışı için {2} {3},Ogni {0}° proiettile lanciato dalle armi da distanza ottiene {2} {3}.
EFFECT_MODIFY_EVERY_X_PROJECTILE_THIRD,Every ranged weapon's {0}rd projectile has {2} {3},Le {0}ème projectile de chaque arme à distance a {2} {3},每把远战武器的第{0}个投射物有{2}{3},すべての遠距離武器の発射物は {0} 発ごとに {2} {3},모든 원거리 무기의 {0}번째 발사체가 {2} {3} 보유,每個遠距離武器的第{0}個投射物{2}{3},Каждый {0}-й снаряд оружия дальнего боя получает {2}: {3}.,Co {0} pocisk broni dystansowej ma {3} {2},El {0}.er proyectil de todas las armas a distancia tienen {2} de {3},Todo {0}º projétil de arma de longo alcance ganha {2} de {3}.,Jedes {0}. Projektil einer Fernkampfwaffe hat {2} {3},Her menzilli silahın {0}. atışı için {2} {3},Ogni {0}° proiettile lanciato dalle armi da distanza ottiene {2} {3}.
EFFECT_WEAPON_MODIFY_EVERY_X_PROJECTILE,Every {0}th projectile has {2} {3},Chaque {0}ème projectile a {2} {3},每次第{0}个投射物有{2}{3},発射物は {0} 発ごとに {2} {3},모든 {0}번째 발사체가 {2} {3} 보유,每到第{0}個投射物就{2}{3},Каждый {0}-й снаряд получает {2}: {3}.,Co {0} pocisk ma {3} {2},El {0}.º proyectil que dispares tiene {2} de {3},Todo {0}º projétil ganha {2} de {3}.,Jedes {0}. Projektil hat {2} {3},Atılan her {0}. roket için {2} {3},Ogni {0}° proiettile lanciato ottiene {2} {3}.
EFFECT_WEAPON_MODIFY_EVERY_X_PROJECTILE_FIRST,Every projectile has {2} {3},Chaque projectile a {2} {3},每个投射物有{2}{3},すべての発射物は {2} {3},모든 발사체가 {2} {3} 보유,每個投射物都{2}{3},Каждый снаряд получает {2}: {3}.,Każdy pocisk ma {3} {2},Los proyectiles que dispares tienen {2} de {3},Todos os projéteis ganham {2} de {3}.,Jedes Projektil hat {2} {3},Atılan her roket için {2} {3},Ogni proiettile lanciato ottiene {2} {3}.
EFFECT_WEAPON_MODIFY_EVERY_X_PROJECTILE_SECOND,Every {0}nd projectile has {2} {3},Chaque {0}ème projectile a {2} {3},每次第{0}个投射物有{2}{3},発射物は {0} 発ごとに {2} {3},모든 {0}번째 발사체가 {2} {3} 보유,每到第{0}個投射物就{2}{3},Каждый {0}-й снаряд получает {2}: {3}.,Co {0} pocisk ma {3} {2},El {0}.º proyectil que dispares tiene {2} de {3},Todo {0}º projétil ganha {2} de {3}.,Jedes {0}. Projektil hat {2} {3},Atılan her {0}. roket için {2} {3},Ogni {0}° proiettile lanciato ottiene {2} {3}.
